Imei,CustomerName
864502037822053,
864502035678713,
864502037856770,
864502035698430,
864502037759719,
356363058078017,
356363058072663,
357520073929909,
356363058066418,
356363058077332,
356363058071020,
356363058075898,
356363058071590,
356363058077308,
356363058077282,
358887098100025,
358887096718257,
353322082853210,
358174061422474,
358887096782030,
868997035394566,
356363054812534,
868997035394079,
358887099531210,
358887099725101,
358887099767285,
355504069572107,
358174061425915,
356363054406352,
869247049706762,
869247049711879,
869247049718429,
869247049716795,
869247049736298,
869247049717967,
357520074217999,
862818047911138,
358014098275794,
356363054823358,
358887099767772,
358887095139091,
358887095139810,
358887095136477,
357520075400800,
357520075378220,
357520074569043,
357520074568995,
357520074548435,
357520075378378,
358887095136535,
358887095139174,
358887095140495,
358887093671822,
864502035033562,
869247049707422,
864502035741149,
864502033517004,
868997039547854,
864502033359696,
864502030395230,
862818040727176,
864502034718742,
862950025749774,
862950025788582,
864502033634767,
862818047833639,
868997035394624,
868997035393162,
357520074536026,
862818047832334,
357520074544921,
864502033281718,
867322032656431,
867322032656506,
864502033516881,
864502033613688,
862818040725899,
868997035079878,
861551041202763,
867322032756652,
867322032656753,
867322032756637,
867322032656696,
864502037799061,
868997035497260,
868997035552155,
868325027105297,
868997039548555,
868997035443280,
864502036196392,
868997039541741,
868997035290251,
862950024890702,
862950024878467,
862950024877402,
864502035036250,
864502034763383,
864502037857646,Menzies Non Motor
868997039544901,Acqsys Non Motorised
864502037821683,Acqsys Non Motorised
864502037810413,Menzies Non Motor
864502037821253,Menzies Non Motor
866224026672518,Acqsys Non Motorised
864502037823283,WH Smith
862950028547829,WH Smith
862950025766729,
864502033639857,
864502037889649,
358887099691576,
358887099757013,
358887099693036,
358887099706234,
358887099691634,
350544508596239,
350544509397454,
350544509398098,
350544509398080,
867322035630763,
868997035556008,
350544509397298,
350544508632794,
350544508632760,
864502037788031,
351631044272695,
350544508634212,
350544508639955,
350544508639435,
350544508632711,
350544508639781,
350544508639948,
350544509397538,
350544508632844,
350544509398114,
350544509397389,
357520074513736,
357520075378428,
358887099757674,
860873040939679,
860873040939661,
860873040771916,
358174069665835,
860873041000794,
860873041761650,
860873040996661,
860873041769265,
860873040927427,
860873040986126,
860873040992140,
860873040948738,
860873040944729,
860873040932369,
860264055519095,
860264055468129,
860264050890343,
860264053344009,
860264055463351,
860264050899328,
860873040818600,
860873040948480,
860873040977208,
860873040934423,
860873040986043,
351631044266507,
350544502882718,
350544502882825,
350544502869566,
350544502840617,
357073298209467,
357073298565538,
350544509398908,
357073298565652,
357073298209384,
357073298565686,
